filename,local_time
KTYX20200119_121354_V06,20200119_071354
KTYX20200119_121826_V06,20200119_071826
KTYX20200119_122306_V06,20200119_072306
KTYX20200119_122746_V06,20200119_072746
KTYX20200119_123227_V06,20200119_073227
KTYX20200119_123707_V06,20200119_073707
KTYX20200119_124146_V06,20200119_074146
KTYX20200119_124626_V06,20200119_074626
KTYX20200119_125106_V06,20200119_075106
KTYX20200119_130026_V06,20200119_080026
KTYX20200119_130505_V06,20200119_080505
KTYX20200119_130945_V06,20200119_080945
KTYX20200119_131425_V06,20200119_081425
KTYX20200119_131905_V06,20200119_081905
KTYX20200119_132344_V06,20200119_082344
KTYX20200119_132824_V06,20200119_082824
KTYX20200119_133304_V06,20200119_083304
KTYX20200119_133744_V06,20200119_083744
KTYX20200119_134224_V06,20200119_084224
KTYX20200119_134703_V06,20200119_084703
KTYX20200119_135143_V06,20200119_085143
KTYX20200119_140103_V06,20200119_090103
KTYX20200120_120422_V06,20200120_070422
KTYX20200120_121120_V06,20200120_071120
KTYX20200120_121817_V06,20200120_071817
KTYX20200120_122516_V06,20200120_072516
KTYX20200120_123215_V06,20200120_073215
KTYX20200120_123913_V06,20200120_073913
KTYX20200120_124612_V06,20200120_074612
KTYX20200120_125310_V06,20200120_075310
KTYX20200120_130701_V06,20200120_080701
KTYX20200120_131359_V06,20200120_081359
KTYX20200120_132053_V06,20200120_082053
KTYX20200120_132751_V06,20200120_082751
KTYX20200120_133448_V06,20200120_083448
KTYX20200120_134142_V06,20200120_084142
KTYX20200120_134834_V06,20200120_084834
KTYX20200121_120244_V06,20200121_070244
KTYX20200121_120948_V06,20200121_070948
KTYX20200121_121635_V06,20200121_071635
KTYX20200121_122332_V06,20200121_072332
KTYX20200121_123030_V06,20200121_073030
KTYX20200121_123728_V06,20200121_073728
KTYX20200121_124433_V06,20200121_074433
KTYX20200121_125137_V06,20200121_075137
KTYX20200121_130546_V06,20200121_080546
KTYX20200121_131250_V06,20200121_081250
KTYX20200121_131954_V06,20200121_081954
KTYX20200121_132652_V06,20200121_082652
KTYX20200121_133350_V06,20200121_083350
KTYX20200121_134055_V06,20200121_084055
KTYX20200121_134759_V06,20200121_084759
KTYX20200122_120301_V06,20200122_070301
KTYX20200122_120953_V06,20200122_070953
KTYX20200122_121651_V06,20200122_071651
KTYX20200122_122340_V06,20200122_072340
KTYX20200122_123037_V06,20200122_073037
KTYX20200122_123730_V06,20200122_073730
KTYX20200122_124423_V06,20200122_074423
KTYX20200122_125111_V06,20200122_075111
KTYX20200122_130447_V06,20200122_080447
KTYX20200122_131140_V06,20200122_081140
KTYX20200122_131823_V06,20200122_081823
KTYX20200122_132516_V06,20200122_082516
KTYX20200122_133200_V06,20200122_083200
KTYX20200122_133843_V06,20200122_083843
KTYX20200122_134527_V06,20200122_084527
KTYX20200122_135219_V06,20200122_085219
KTYX20200123_120151_V06,20200123_070151
KTYX20200123_120849_V06,20200123_070849
KTYX20200123_121542_V06,20200123_071542
KTYX20200123_122236_V06,20200123_072236
KTYX20200123_122933_V06,20200123_072933
KTYX20200123_123637_V06,20200123_073637
KTYX20200123_124331_V06,20200123_074331
KTYX20200123_125028_V06,20200123_075028
KTYX20200123_130414_V06,20200123_080414
KTYX20200123_131107_V06,20200123_081107
KTYX20200123_131756_V06,20200123_081756
KTYX20200123_132448_V06,20200123_082448
KTYX20200123_133151_V06,20200123_083151
KTYX20200123_133848_V06,20200123_083848
KTYX20200123_134546_V06,20200123_084546
KTYX20200123_135244_V06,20200123_085244
KTYX20200124_120256_V06,20200124_070256
KTYX20200124_121001_V06,20200124_071001
KTYX20200124_121705_V06,20200124_071705
KTYX20200124_122409_V06,20200124_072409
KTYX20200124_123107_V06,20200124_073107
KTYX20200124_123756_V06,20200124_073756
KTYX20200124_124444_V06,20200124_074444
KTYX20200124_125143_V06,20200124_075143
KTYX20200124_130545_V06,20200124_080545
KTYX20200124_131243_V06,20200124_081243
KTYX20200124_131940_V06,20200124_081940
KTYX20200124_132644_V06,20200124_082644
KTYX20200124_133348_V06,20200124_083348
KTYX20200124_134053_V06,20200124_084053
KTYX20200124_134756_V06,20200124_084756
KTYX20200125_120034_V06,20200125_070034
KTYX20200125_120522_V06,20200125_070522
KTYX20200125_121010_V06,20200125_071010
KTYX20200125_121512_V06,20200125_071512
KTYX20200125_122000_V06,20200125_072000
KTYX20200125_122453_V06,20200125_072453
KTYX20200125_122941_V06,20200125_072941
KTYX20200125_123459_V06,20200125_073459
KTYX20200125_124006_V06,20200125_074006
KTYX20200125_124538_V06,20200125_074538
KTYX20200125_125056_V06,20200125_075056
KTYX20200125_130215_V06,20200125_080215
KTYX20200125_130803_V06,20200125_080803
KTYX20200125_131350_V06,20200125_081350
KTYX20200125_131938_V06,20200125_081938
KTYX20200125_132524_V06,20200125_082524
KTYX20200125_133111_V06,20200125_083111
KTYX20200125_133700_V06,20200125_083700
KTYX20200125_134247_V06,20200125_084247
KTYX20200125_134833_V06,20200125_084833
KTYX20200125_135422_V06,20200125_085422
KTYX20200126_120303_V06,20200126_070303
KTYX20200126_120743_V06,20200126_070743
KTYX20200126_121216_V06,20200126_071216
KTYX20200126_121656_V06,20200126_071656
KTYX20200126_122135_V06,20200126_072135
KTYX20200126_122553_V06,20200126_072553
KTYX20200126_123012_V06,20200126_073012
KTYX20200126_123445_V06,20200126_073445
KTYX20200126_123918_V06,20200126_073918
KTYX20200126_124342_V06,20200126_074342
KTYX20200126_124814_V06,20200126_074814
KTYX20200126_125248_V06,20200126_075248
KTYX20200126_130154_V06,20200126_080154
KTYX20200126_130628_V06,20200126_080628
KTYX20200126_131100_V06,20200126_081100
KTYX20200126_131533_V06,20200126_081533
KTYX20200126_132006_V06,20200126_082006
KTYX20200126_132439_V06,20200126_082439
KTYX20200126_132912_V06,20200126_082912
KTYX20200126_133345_V06,20200126_083345
KTYX20200126_133825_V06,20200126_083825
KTYX20200126_134523_V06,20200126_084523
KTYX20200126_135228_V06,20200126_085228
KTYX20200127_120057_V06,20200127_070057
KTYX20200127_120755_V06,20200127_070755
KTYX20200127_121459_V06,20200127_071459
KTYX20200127_122157_V06,20200127_072157
KTYX20200127_122855_V06,20200127_072855
KTYX20200127_123559_V06,20200127_073559
KTYX20200127_124304_V06,20200127_074304
KTYX20200127_125009_V06,20200127_075009
KTYX20200127_130418_V06,20200127_080418
KTYX20200127_131116_V06,20200127_081116
KTYX20200127_131822_V06,20200127_081822
KTYX20200127_132515_V06,20200127_082515
KTYX20200127_133212_V06,20200127_083212
KTYX20200127_133910_V06,20200127_083910
KTYX20200127_134607_V06,20200127_084607
KTYX20200127_135306_V06,20200127_085306
KTYX20200128_120520_V06,20200128_070520
KTYX20200128_121217_V06,20200128_071217
KTYX20200128_121922_V06,20200128_071922
KTYX20200128_122620_V06,20200128_072620
KTYX20200128_123324_V06,20200128_073324
KTYX20200128_124023_V06,20200128_074023
KTYX20200128_124720_V06,20200128_074720
KTYX20200128_130117_V06,20200128_080117
KTYX20200128_130810_V06,20200128_080810
KTYX20200128_131504_V06,20200128_081504
KTYX20200128_132208_V06,20200128_082208
KTYX20200128_132858_V06,20200128_082858
KTYX20200128_133552_V06,20200128_083552
KTYX20200128_134255_V06,20200128_084255
KTYX20200128_134953_V06,20200128_084953
KTYX20200129_120205_V06,20200129_070205
KTYX20200129_120909_V06,20200129_070909
KTYX20200129_121602_V06,20200129_071602
KTYX20200129_122254_V06,20200129_072254
KTYX20200129_122946_V06,20200129_072946
KTYX20200129_123644_V06,20200129_073644
KTYX20200129_124342_V06,20200129_074342
KTYX20200129_125041_V06,20200129_075041
KTYX20200129_130436_V06,20200129_080436
KTYX20200129_131134_V06,20200129_081134
KTYX20200129_131832_V06,20200129_081832
KTYX20200129_132521_V06,20200129_082521
KTYX20200129_133219_V06,20200129_083219
KTYX20200129_133916_V06,20200129_083916
KTYX20200129_134609_V06,20200129_084609
KTYX20200130_115301_V06,20200130_065301
KTYX20200130_120702_V06,20200130_070702
KTYX20200130_121407_V06,20200130_071407
KTYX20200130_122110_V06,20200130_072110
KTYX20200130_122809_V06,20200130_072809
KTYX20200130_123457_V06,20200130_073457
KTYX20200130_124202_V06,20200130_074202
KTYX20200130_124859_V06,20200130_074859
KTYX20200130_130301_V06,20200130_080301
KTYX20200130_130954_V06,20200130_080954
KTYX20200130_131652_V06,20200130_081652
KTYX20200130_132350_V06,20200130_082350
KTYX20200130_133047_V06,20200130_083047
KTYX20200130_133737_V06,20200130_083737
KTYX20200130_134435_V06,20200130_084435
KTYX20200130_135139_V06,20200130_085139
KTYX20200131_120332_V06,20200131_070332
KTYX20200131_121037_V06,20200131_071037
KTYX20200131_121735_V06,20200131_071735
KTYX20200131_122433_V06,20200131_072433
KTYX20200131_123130_V06,20200131_073130
KTYX20200131_123819_V06,20200131_073819
KTYX20200131_124512_V06,20200131_074512
KTYX20200131_125205_V06,20200131_075205
KTYX20200131_130601_V06,20200131_080601
KTYX20200131_131305_V06,20200131_081305
KTYX20200131_132003_V06,20200131_082003
KTYX20200131_132700_V06,20200131_082700
KTYX20200131_133359_V06,20200131_083359
KTYX20200131_134056_V06,20200131_084056
KTYX20200131_134753_V06,20200131_084753
KTYX20200201_115146_V06,20200201_065146
KTYX20200201_120531_V06,20200201_070531
KTYX20200201_121224_V06,20200201_071224
KTYX20200201_121908_V06,20200201_071908
KTYX20200201_122551_V06,20200201_072551
KTYX20200201_123240_V06,20200201_073240
KTYX20200201_123933_V06,20200201_073933
KTYX20200201_124617_V06,20200201_074617
KTYX20200201_125310_V06,20200201_075310
KTYX20200201_130639_V06,20200201_080639
KTYX20200201_131324_V06,20200201_081324
KTYX20200201_132007_V06,20200201_082007
KTYX20200201_132652_V06,20200201_082652
KTYX20200201_133336_V06,20200201_083336
KTYX20200201_134021_V06,20200201_084021
KTYX20200201_134705_V06,20200201_084705
KTYX20200202_120202_V06,20200202_070202
KTYX20200202_120907_V06,20200202_070907
KTYX20200202_121611_V06,20200202_071611
KTYX20200202_122316_V06,20200202_072316
KTYX20200202_123021_V06,20200202_073021
KTYX20200202_123725_V06,20200202_073725
KTYX20200202_124429_V06,20200202_074429
KTYX20200202_125133_V06,20200202_075133
KTYX20200202_130041_V06,20200202_080041
KTYX20200202_130514_V06,20200202_080514
KTYX20200202_130947_V06,20200202_080947
KTYX20200202_131427_V06,20200202_081427
KTYX20200202_131908_V06,20200202_081908
KTYX20200202_132348_V06,20200202_082348
KTYX20200202_132828_V06,20200202_082828
KTYX20200202_133308_V06,20200202_083308
KTYX20200202_133748_V06,20200202_083748
KTYX20200202_134229_V06,20200202_084229
KTYX20200202_134709_V06,20200202_084709
KTYX20200203_114752_V06,20200203_064752
KTYX20200203_120147_V06,20200203_070147
KTYX20200203_120845_V06,20200203_070845
KTYX20200203_121543_V06,20200203_071543
KTYX20200203_122241_V06,20200203_072241
KTYX20200203_122939_V06,20200203_072939
KTYX20200203_123637_V06,20200203_073637
KTYX20200203_124335_V06,20200203_074335
KTYX20200203_125033_V06,20200203_075033
KTYX20200203_130431_V06,20200203_080431
KTYX20200203_131129_V06,20200203_081129
KTYX20200203_131827_V06,20200203_081827
KTYX20200203_132526_V06,20200203_082526
KTYX20200203_133223_V06,20200203_083223
KTYX20200203_133921_V06,20200203_083921
KTYX20200203_134619_V06,20200203_084619
KTYX20200204_115245_V06,20200204_065245
KTYX20200204_120622_V06,20200204_070622
KTYX20200204_121315_V06,20200204_071315
KTYX20200204_122009_V06,20200204_072009
KTYX20200204_122659_V06,20200204_072659
KTYX20200204_123404_V06,20200204_073404
KTYX20200204_124102_V06,20200204_074102
KTYX20200204_124806_V06,20200204_074806
KTYX20200204_130200_V06,20200204_080200
KTYX20200204_130858_V06,20200204_080858
KTYX20200204_131555_V06,20200204_081555
KTYX20200204_132259_V06,20200204_082259
KTYX20200204_132948_V06,20200204_082948
KTYX20200204_133646_V06,20200204_083646
KTYX20200204_134343_V06,20200204_084343
KTYX20200205_114938_V06,20200205_064938
KTYX20200205_115418_V06,20200205_065418
KTYX20200205_120353_V06,20200205_070353
KTYX20200205_120833_V06,20200205_070833
KTYX20200205_121313_V06,20200205_071313
KTYX20200205_121752_V06,20200205_071752
KTYX20200205_122232_V06,20200205_072232
KTYX20200205_122713_V06,20200205_072713
KTYX20200205_123153_V06,20200205_073153
KTYX20200205_123633_V06,20200205_073633
KTYX20200205_124112_V06,20200205_074112
KTYX20200205_124552_V06,20200205_074552
KTYX20200205_125033_V06,20200205_075033
KTYX20200205_125513_V06,20200205_075513
KTYX20200205_130433_V06,20200205_080433
KTYX20200205_130913_V06,20200205_080913
KTYX20200205_131332_V06,20200205_081332
KTYX20200205_131751_V06,20200205_081751
KTYX20200205_132231_V06,20200205_082231
KTYX20200205_132710_V06,20200205_082710
KTYX20200205_133150_V06,20200205_083150
KTYX20200205_133630_V06,20200205_083630
KTYX20200205_134110_V06,20200205_084110
KTYX20200206_114752_V06,20200206_064752
KTYX20200206_120200_V06,20200206_070200
KTYX20200206_120904_V06,20200206_070904
KTYX20200206_121602_V06,20200206_071602
KTYX20200206_122305_V06,20200206_072305
KTYX20200206_123009_V06,20200206_073009
KTYX20200206_123714_V06,20200206_073714
KTYX20200206_124418_V06,20200206_074418
KTYX20200206_125122_V06,20200206_075122
KTYX20200206_130520_V06,20200206_080520
KTYX20200206_131208_V06,20200206_081208
KTYX20200206_131905_V06,20200206_081905
KTYX20200206_132333_V06,20200206_082333
KTYX20200206_132752_V06,20200206_082752
KTYX20200206_133210_V06,20200206_083210
KTYX20200206_133629_V06,20200206_083629
KTYX20200206_134048_V06,20200206_084048
KTYX20200207_114744_V06,20200207_064744
KTYX20200207_115352_V06,20200207_065352
KTYX20200207_120608_V06,20200207_070608
KTYX20200207_121216_V06,20200207_071216
KTYX20200207_121824_V06,20200207_071824
KTYX20200207_122431_V06,20200207_072431
KTYX20200207_123040_V06,20200207_073040
KTYX20200207_123648_V06,20200207_073648
KTYX20200207_124257_V06,20200207_074257
KTYX20200207_124843_V06,20200207_074843
KTYX20200207_130018_V06,20200207_080018
KTYX20200207_130605_V06,20200207_080605
KTYX20200207_131152_V06,20200207_081152
KTYX20200207_131739_V06,20200207_081739
KTYX20200207_132326_V06,20200207_082326
KTYX20200207_132912_V06,20200207_082912
KTYX20200207_133459_V06,20200207_083459
KTYX20200207_134047_V06,20200207_084047
KTYX20200208_114413_V06,20200208_064413
KTYX20200208_115111_V06,20200208_065111
KTYX20200208_120511_V06,20200208_070511
KTYX20200208_121210_V06,20200208_071210
